image_dr,Nome do an ncio,Tipo de resultado,Resultados,Valor usado (BRL)
001.jpg,00 - AD - [BURGER DO M S] AGOSTO,Compras no site,566,581.56
002.jpg,00 - AD - [BURGER DO M S] JULHO,Compras no site,60,105.64
003.jpg,00 - AD - [BURGER DO M S] JUNHO,Compras no site,8,7.64
004.jpg,00 - AD01 - [FOTO] Smash todo dia!,Compras no site,100,187.5
005.jpg,00 - AD02 - VENDAS,Compras no site,149,171.85
006.jpg,00 - AD03 - VENDAS,Compras no site,323,348.36
007.jpg,00 - AD04 - VENDAS,Compras no site,429,464.88
008.jpg,00 - AD05 - SMASHDAY,,1,0.19
009.jpg,01 - AD - [BURGER DO M S] JULHO,Compras no site,157,154.53
010.jpg,01 - AD01 - VENDAS,Compras no site,635,334.19
011.jpg,01 - AD02 - [FOTO] Smash todo dia!,Compras no site,1081,819.49
012.jpg,01 - AD03 - VENDAS,Compras no site,1594,1102.88
013.jpg,01 - AD04 - VENDAS,Compras no site,128,124.42
014.jpg,01 - AD05 - SMASHDAY,,0,0.2
015.jpg,AD01 - [FOTO] ?? Toda ter a tem,Compras no site,59,68.9
016.jpg,AD01 - [VIDEO] Especial do M s - Agosto,Visualiza  es da p gina de destino,191,111.51
017.jpg,AD01 - [VIDEO] Smash de Julho,Alcance,11,34.28
018.jpg,AD01 - CAPTA  O,Engajamentos com o post,37,36.27
019.jpg,AD01 - INAUGURA  O,Visitas ao perfil do Instagram,1315,237.29
020.jpg,AD02 - [VIDEO] Galliate sempre,Alcance,44,135.98
021.jpg,AD02 - [VIDEO] Promo da Ter a,Visualiza  es da p gina de destino,231,140.9
022.jpg,AD02 - INAUGURA  O,Visitas ao perfil do Instagram,1,0.21
023.jpg,AD03 - [VIDEO] Galliate. o melhor rem dio,Alcance,42,130.38
024.jpg,AD03 - [VIDEO] Recomendados,Visualiza  es da p gina de destino,164,97.55
025.jpg,AD03 - CAPTA  O,Engajamentos com o post,19,26.95
026.jpg,AD04 - [VIDEO] Combo Kids,Alcance,31,126.42
027.jpg,AD04 - CAPTA  O,Engajamentos com o post,2,95.44
028.jpg,AD05 - [VIDEO] ESPECIAL DE SETEMBRO,Alcance,23,75.0
029.jpg,AD05 - CAPTA  O,Engajamentos com o post,1,11.65
030.jpg,AD06 - CAPTA  O,Engajamentos com o post,3,402.99
031.jpg,AD07 - CAPTA  O,Engajamentos com o post,0,225.55
032.jpg,AD08 - CAPTA  O,Engajamentos com o post,2,203.61
033.jpg,AD09  - [VIDEO] TODA TER A!,Engajamentos com o post,0,131.91
034.jpg,AD10  - [VIDEO] Parab ns pra mim e pra voc  tamb m ??,Engajamentos com o post,0,31.69
035.jpg,AD11  - [VIDEO] Se   Galliate. voc  j  sabe: Quem come vira f ! ?,Engajamentos com o post,1,118.51
